archivo_pdf;url;uptime_porcentaje;uptime_unidad;uptime_duracion;uptime_segundos;downtime_porcentaje;downtime_unidad;downtime_duracion;downtime_segundos;periodo_reporte;horas_reporte;tipo_sensor;tiempo_carga_promedio;pagina
PRTG Report 58342 - 944790 Envío de Uptime SSED DGEDIG - Created 2025-05-05 00-01-55 (2025-04-28 00-00 - 2025-05-05 00-00) UTC- Part 02.pdf;https://buenosaires.gob.ar/;100;%;06d 23h 58m 57s;604737;0;%;00s;0;28/4/2025 00:00:00 - 5/5/2025 00:00:00;24 / 7;HTTP (5 m Interval);33 msec;5
PRTG Report 58342 - 944790 Envío de Uptime SSED DGEDIG - Created 2025-05-05 00-01-55 (2025-04-28 00-00 - 2025-05-05 00-00) UTC- Part 02.pdf;buenosaires.gob.ar/tramites;84;%;05d 21h 52m 03s;510723;16;%;01d 02h 05m 00s;93900;28/4/2025 00:00:00 - 5/5/2025 00:00:00;24 / 7;HTTP (5 m Interval);59 msec;1
PRTG Report 58342 - 944790 Envío de Uptime SSED DGEDIG - Created 2025-05-05 00-01-55 (2025-04-28 00-00 - 2025-05-05 00-00) UTC- Part 02.pdf;buenosaires.gob.ar/educacion;74;%;05d 04h 30m 00s;448200;26;%;01d 19h 25m 00s;156300;28/4/2025 00:00:00 - 5/5/2025 00:00:00;24 / 7;HTTP (5 m Interval);26 msec;3
PRTG Report 58342 - 944790 Envío de Uptime SSED DGEDIG - Created 2025-05-05 00-01-55 (2025-04-28 00-00 - 2025-05-05 00-00) UTC- Part 02.pdf;nba-drupal.buenosaires.gob.ar;77;%;05d 09h 06m 40s;464800;23;%;01d 14h 47m 50s;139670;28/4/2025 00:00:00 - 5/5/2025 00:00:00;24 / 7;HTTP (5 m Interval);1.026 msec;7
PRTG Report 58342 - 944790 Envío de Uptime SSED DGEDIG - Created 2025-05-05 00-01-55 (2025-04-28 00-00 - 2025-05-05 00-00) UTC- Part 02.pdf;ash.buenosaires.gob.ar/;77;%;05d 09h 54m 52s;467692;23;%;01d 14h 03m 30s;137010;28/4/2025 00:00:00 - 5/5/2025 00:00:00;24 / 7;HTTP (5 m Interval);1.000 msec;9
PRTG Report 58342 - 944790 Envío de Uptime SSED DGEDIG - Created 2025-05-12 00-01-20 (2025-05-05 00-00 - 2025-05-12 00-00) UTC- Part 02.pdf;https://buenosaires.gob.ar/;100;%;06d 23h 55m 00s;604500;0;%;00s;0;5/5/2025 00:00:00 - 12/5/2025 00:00:00;24 / 7;HTTP (5 m Interval);22 msec;5
PRTG Report 58342 - 944790 Envío de Uptime SSED DGEDIG - Created 2025-05-12 00-01-20 (2025-05-05 00-00 - 2025-05-12 00-00) UTC- Part 02.pdf;buenosaires.gob.ar/tramites;100;%;06d 23h 55m 00s;604500;0;%;00s;0;5/5/2025 00:00:00 - 12/5/2025 00:00:00;24 / 7;HTTP (5 m Interval);53 msec;1
PRTG Report 58342 - 944790 Envío de Uptime SSED DGEDIG - Created 2025-05-12 00-01-20 (2025-05-05 00-00 - 2025-05-12 00-00) UTC- Part 02.pdf;buenosaires.gob.ar/educacion;100;%;06d 23h 55m 00s;604500;0;%;00s;0;5/5/2025 00:00:00 - 12/5/2025 00:00:00;24 / 7;HTTP (5 m Interval);25 msec;3
PRTG Report 58342 - 944790 Envío de Uptime SSED DGEDIG - Created 2025-05-12 00-01-20 (2025-05-05 00-00 - 2025-05-12 00-00) UTC- Part 02.pdf;nba-drupal.buenosaires.gob.ar;100;%;06d 23h 55m 00s;604500;0;%;00s;0;5/5/2025 00:00:00 - 12/5/2025 00:00:00;24 / 7;HTTP (5 m Interval);1.163 msec;7
PRTG Report 58342 - 944790 Envío de Uptime SSED DGEDIG - Created 2025-06-09 00-01-31 (2025-06-02 00-00 - 2025-06-09 00-00) UTC- Part 02.pdf;https://buenosaires.gob.ar/;100;%;06d 23h 56m 29s;604589;0;%;00s;0;2/6/2025 00:00:00 - 9/6/2025 00:00:00;24 / 7;HTTP (5 m Interval);19 msec;5
PRTG Report 58342 - 944790 Envío de Uptime SSED DGEDIG - Created 2025-06-09 00-01-31 (2025-06-02 00-00 - 2025-06-09 00-00) UTC- Part 02.pdf;buenosaires.gob.ar/tramites;100;%;06d 23h 55m 01s;604501;0;%;00s;0;2/6/2025 00:00:00 - 9/6/2025 00:00:00;24 / 7;HTTP (5 m Interval);49 msec;1
PRTG Report 58342 - 944790 Envío de Uptime SSED DGEDIG - Created 2025-06-09 00-01-31 (2025-06-02 00-00 - 2025-06-09 00-00) UTC- Part 02.pdf;nba-drupal.buenosaires.gob.ar;100;%;06d 23h 58m 13s;604693;0;%;00s;0;2/6/2025 00:00:00 - 9/6/2025 00:00:00;24 / 7;HTTP (5 m Interval);937 msec;7
PRTG Report 58342 - 944790 Envío de Uptime SSED DGEDIG - Created 2025-06-09 00-01-31 (2025-06-02 00-00 - 2025-06-09 00-00) UTC- Part 02.pdf;ash.buenosaires.gob.ar/;100;%;06d 23h 56m 21s;604581;0;%;00s;0;2/6/2025 00:00:00 - 9/6/2025 00:00:00;24 / 7;HTTP (5 m Interval);905 msec;9
PRTG Report 58342 - 944790 Envío de Uptime SSED DGEDIG - Created 2025-06-23 00-02-11 (2025-06-16 00-00 - 2025-06-23 00-00) UTC- Part 02.pdf;https://buenosaires.gob.ar/;100;%;06d 23h 58m 41s;604721;0;%;00s;0;16/6/2025 00:00:00 - 23/6/2025 00:00:00;24 / 7;HTTP (5 m Interval);22 msec;5
PRTG Report 58342 - 944790 Envío de Uptime SSED DGEDIG - Created 2025-06-23 00-02-11 (2025-06-16 00-00 - 2025-06-23 00-00) UTC- Part 02.pdf;buenosaires.gob.ar/tramites;100;%;06d 23h 59m 25s;604765;0;%;00s;0;16/6/2025 00:00:00 - 23/6/2025 00:00:00;24 / 7;HTTP (5 m Interval);59 msec;1
PRTG Report 58342 - 944790 Envío de Uptime SSED DGEDIG - Created 2025-06-23 00-02-11 (2025-06-16 00-00 - 2025-06-23 00-00) UTC- Part 02.pdf;buenosaires.gob.ar/educacion;100;%;06d 23h 58m 27s;604707;0;%;00s;0;16/6/2025 00:00:00 - 23/6/2025 00:00:00;24 / 7;HTTP (5 m Interval);24 msec;3
PRTG Report 58342 - 944790 Envío de Uptime SSED DGEDIG - Created 2025-06-23 00-02-11 (2025-06-16 00-00 - 2025-06-23 00-00) UTC- Part 02.pdf;nba-drupal.buenosaires.gob.ar;100;%;06d 23h 57m 25s;604645;0;%;00s;0;16/6/2025 00:00:00 - 23/6/2025 00:00:00;24 / 7;HTTP (5 m Interval);847 msec;7
PRTG Report 58342 - 944790 Envío de Uptime SSED DGEDIG - Created 2025-06-23 00-02-11 (2025-06-16 00-00 - 2025-06-23 00-00) UTC- Part 02.pdf;ash.buenosaires.gob.ar/;100;%;06d 23h 55m 33s;604533;0;%;00s;0;16/6/2025 00:00:00 - 23/6/2025 00:00:00;24 / 7;HTTP (5 m Interval);861 msec;9
